,distv_num,dist_loca_num,Type
9122,-2.724804965,6.210694031,Virus
3278,-2.721553831,6.367504144,Host
3334,-2.719169323,6.367504144,Host
3251,-2.717925646,6.204440095,Host
10182,-2.715584174,6.448694422,Virus
3250,-2.713993631,6.204440095,Host
9066,-2.713031455,6.204440095,Virus
1822,-2.712701677,6.049067775,Host
8164,-2.712261642,6.049067775,Virus
1835,-2.712122861,6.167947556,Host
9438,-2.710808934,6.255168341,Virus
3219,-2.710186334,5.794732382,Host
1803,-2.709452739,5.970751066,Host
1825,-2.708502473,6.049067775,Host
3282,-2.707469447,6.367504144,Host
9814,-2.705064069,6.319760596,Virus
940,-2.703145693,6.448694422,Host
7103,-2.702583312,5.794732382,Virus
7097,-2.701671168,5.794732382,Virus
9828,-2.698309226,6.319760596,Virus
1821,-2.697360646,6.049067775,Host
1788,-2.695804009,5.507657415,Host
1577,-2.694264042,5.970751066,Host
9067,-2.692962798,6.204440095,Virus
3285,-2.692919309,6.367504144,Host
2617,-2.692337489,6.261948077,Host
1572,-2.690587553,5.970751066,Host
3221,-2.690402308,5.794732382,Host
9418,-2.689922502,6.255168341,Virus
8162,-2.689349294,6.049067775,Virus
1022,-2.689108621,6.448694422,Host
1669,-2.68526936,6.210694031,Host
9808,-2.680620871,6.319760596,Virus
939,-2.68059633,6.448694422,Host
9436,-2.679651532,6.255168341,Virus
10173,-2.679633663,6.448694422,Virus
1820,-2.678302452,6.049067775,Host
3281,-2.67805672,6.367504144,Host
3394,-2.676234563,6.204440095,Host
8161,-2.672019847,6.049067775,Virus
853,-2.671864923,6.448694422,Host
10213,-2.671474697,6.448694422,Virus
10165,-2.669924439,6.448694422,Virus
3395,-2.668803708,6.204440095,Host
7100,-2.66814756,5.794732382,Virus
1616,-2.665428056,5.766225705,Host
3283,-2.664770648,6.367504144,Host
1826,-2.663028858,6.049067775,Host
3393,-2.662889536,6.204440095,Host
1670,-2.662347121,6.210694031,Host
9124,-2.66193885,6.210694031,Virus
3399,-2.661908798,6.204440095,Host
1469,-2.660646078,6.255168341,Host
7117,-2.65938533,5.794732382,Virus
1348,-2.658783219,6.448694422,Host
8166,-2.655182521,6.049067775,Virus
9800,-2.654849753,6.319760596,Virus
9840,-2.654728131,6.319760596,Virus
7090,-2.654280345,5.794732382,Virus
10161,-2.653447444,6.448694422,Virus
8167,-2.653019833,6.049067775,Virus
3037,-2.652085467,6.204440095,Host
3038,-2.651943475,6.204440095,Host
1105,-2.651920481,6.448694422,Host
3329,-2.651396449,6.367504144,Host
9065,-2.651284787,6.204440095,Virus
1576,-2.650324639,5.970751066,Host
1471,-2.649475963,6.255168341,Host
10189,-2.649380637,6.448694422,Virus
7104,-2.649292861,5.794732382,Virus
6093,-2.64758681,5.350435739,Virus
1614,-2.647292004,5.766225705,Host
1187,-2.647276338,6.448694422,Host
1618,-2.647255573,5.766225705,Host
3284,-2.646884633,6.367504144,Host
1617,-2.646564026,5.766225705,Host
9439,-2.645886457,6.255168341,Virus
7107,-2.64579333,5.794732382,Virus
9127,-2.644673785,6.210694031,Virus
3036,-2.64450256,6.204440095,Host
7114,-2.644501018,5.794732382,Virus
6900,-2.644209249,5.723030061,Virus
3042,-2.643072944,6.204440095,Host
1824,-2.642272013,6.049067775,Host
9011,-2.641892702,6.204440095,Virus
2493,-2.64121468,6.322060537,Host
10197,-2.639850637,6.448694422,Virus
9798,-2.638883273,6.319760596,Virus
6095,-2.638846146,5.350435739,Virus
8163,-2.638637255,6.049067775,Virus
2621,-2.63829382,6.261948077,Host
2496,-2.637352309,6.322060537,Host
7823,-2.637257391,5.970751066,Virus
9433,-2.636822862,6.255168341,Virus
6094,-2.636557372,5.350435739,Virus
1611,-2.63598851,5.766225705,Host
1470,-2.635305228,6.255168341,Host
3425,-2.635301514,6.367504144,Host
6351,-2.635034565,5.507657415,Virus
7820,-2.634993089,5.970751066,Virus
6092,-2.634762888,5.350435739,Virus
6089,-2.63396748,5.350435739,Virus
9009,-2.633239605,6.204440095,Virus
7142,-2.632394604,5.794732382,Virus
